P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,30,8.61,70.6,1.844,33.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.568,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.515,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.461,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.155,22.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.184,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.271,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.186,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.998,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,0.914,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.615,11.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.274,25.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.923,11.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.715,14.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.76,20.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.446,12.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.325,33.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.179,12.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.712,38.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.492,22.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.851,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.38,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.804,20.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.587,25.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.334,33.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.251,50.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.226,75.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.29,85.0
20,5220,80,0,20,5220,80,30,1.44,11.8,1.354,80.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.342,82.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.315,67.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.308,80.0
20,5220,80,0,20,5220,80,30,4.31,35.3,1.368,73.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.265,25.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.248,75.0
20,5220,80,0,20,5220,80,30,1.44,11.8,1.18,86.0
20,5220,80,0,20,5220,80,30,4.31,35.3,1.127,62.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.136,75.0
20,5220,80,0,20,5220,80,30,1.44,11.8,1.209,80.0
20,5220,80,0,20,5220,80,30,1.44,11.8,1.27,93.0
20,5220,80,0,20,5220,80,30,0.0,0.0,1.27,100.0
20,5220,80,0,20,5220,80,30,1.44,11.8,1.203,91.0
20,5220,80,0,20,5220,80,30,4.31,35.3,1.017,81.0
20,5220,80,0,20,5220,80,30,4.31,35.3,1.002,67.0
20,5220,80,0,20,5220,80,30,1.44,11.8,1.078,86.0
20,5220,80,0,20,5220,80,30,1.44,11.8,1.15,83.0
20,5220,80,0,20,5220,80,30,5.74,47.0,1.191,67.0
20,5220,80,0,20,5220,80,30,10.0,82.3,0.947,12.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.379,33.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.271,12.0
20,5220,80,0,20,5220,80,30,10.0,82.3,0.961,22.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.824,11.0
20,5220,80,0,20,5220,80,30,5.74,47.0,1.689,0.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.854,85.0
20,5220,80,0,20,5220,80,30,4.31,35.3,1.785,62.0
20,5220,80,0,20,5220,80,30,1.44,11.8,1.81,86.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.631,40.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.518,22.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.164,12.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.628,38.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.695,78.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.751,78.0
20,5220,80,0,20,5220,80,30,1.44,11.8,1.782,80.0
20,5220,80,0,20,5220,80,30,1.44,11.8,1.824,88.0
20,5220,80,0,20,5220,80,30,0.0,0.0,1.824,100.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.837,71.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.872,12.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.641,22.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.455,17.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.512,71.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.475,83.0
20,5220,80,0,20,5220,80,30,4.31,35.3,1.266,62.0
20,5220,80,0,20,5220,80,30,1.44,11.8,1.324,67.0
20,5220,80,0,20,5220,80,30,5.74,47.0,1.166,73.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.163,50.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.015,31.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.821,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.151,22.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.039,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.099,22.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.073,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.954,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.045,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.001,11.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.098,14.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.054,10.0
20,5220,80,0,20,5220,80,30,10.0,82.3,2.012,12.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.546,22.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.306,25.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.24,22.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.413,12.0
20,5220,80,0,20,5220,80,30,10.0,82.3,2.596,22.0
20,5220,80,0,20,5220,80,30,7.18,58.8,3.193,38.0
20,5220,80,0,20,5220,80,30,10.0,82.3,2.616,22.0
20,5220,80,0,20,5220,80,30,8.61,70.6,2.334,25.0
20,5220,80,0,20,5220,80,30,11.5,94.1,2.791,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,2.781,12.0
20,5220,80,0,20,5220,80,30,12.9,106.0,2.371,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,2.047,12.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.873,33.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.826,29.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.815,30.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.679,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,2.127,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.822,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,2.156,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.731,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,2.325,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.542,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.172,0.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.251,25.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.093,44.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.299,25.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.057,0.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.418,14.0
20,5220,80,0,20,5220,80,30,12.9,106.0,2.288,10.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.828,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.856,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.322,11.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.248,33.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.497,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.539,11.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.2,25.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.516,0.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.373,25.0
20,5220,80,0,20,5220,80,30,12.9,106.0,2.657,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.872,12.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.411,22.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.648,12.0
20,5220,80,0,20,5220,80,30,2.87,23.5,2.139,71.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.916,30.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.834,38.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.343,11.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.1,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.953,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.791,22.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.451,14.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.271,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.28,22.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.618,0.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.508,38.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.142,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.1,0.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.206,38.0
20,5220,80,0,20,5220,80,30,7.18,58.8,0.93,29.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.05,36.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.419,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.608,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.394,12.0
20,5220,80,0,20,5220,80,30,10.0,82.3,2.712,22.0
20,5220,80,0,20,5220,80,30,8.61,70.6,2.159,25.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.626,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.844,12.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.759,0.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.441,25.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.254,0.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.168,40.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.312,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.397,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.414,11.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.556,25.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.884,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.41,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.627,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.681,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.645,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.266,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.725,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.305,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.638,11.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.902,25.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.318,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,2.125,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.879,10.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.898,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.683,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.747,12.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.828,30.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.403,25.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.459,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,2.103,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.758,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.228,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.282,12.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.902,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.757,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.422,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.238,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.372,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.308,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.102,10.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.164,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.125,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.953,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.806,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.786,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.153,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.145,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.418,22.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.322,25.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.96,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,0.827,12.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.825,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.675,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.705,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.2,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.038,20.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.944,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.605,22.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.756,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.226,0.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.241,25.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.929,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,0.836,12.0
20,5220,80,0,20,5220,80,30,8.61,70.6,0.888,33.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.559,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.079,11.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.599,38.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.202,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.047,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.972,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.569,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.191,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.207,12.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.537,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.486,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.236,11.0
20,5220,80,0,20,5220,80,30,4.31,35.3,1.359,62.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.77,33.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.696,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.438,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.686,22.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.502,38.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.452,22.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.765,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,2.01,0.0
20,5220,80,0,20,5220,80,30,8.61,70.6,2.344,33.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.797,25.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.963,0.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.958,29.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.791,20.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.515,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.744,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.35,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.029,20.0
20,5220,80,0,20,5220,80,30,10.0,82.3,0.911,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.643,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.813,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.271,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.301,12.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.618,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.417,0.0

